city,year,tn_zero_days,tg_min,tg_max,tg_median,tg_mean,rr_precip_days,days_extreme_precip
Oslo,2023,90.3,-13.1,2.9,-1.6,-2.7,87.1,-999
Oslo,2024,100.0,-22.3,3.7,-5.5,-7.7,74.2,-999
Oslo,2025,90.3,-13.5,2.3,-2.9,-3.4,90.3,-999
Kristiansand,2023,61.3,-5.1,5.8,1.5,1.7,93.5,-999
Kristiansand,2024,77.4,-14.8,6.3,-2.7,-2.6,77.4,-999
Kristiansand,2025,64.5,-6.7,6.0,1.3,0.5,93.5,-999
Stavanger,2023,29.0,-4.0,7.3,3.1,2.9,96.8,-999
Stavanger,2024,64.5,-9.1,6.8,-0.7,-0.1,83.9,-999
Stavanger,2025,45.2,-6.5,6.7,2.1,2.2,87.1,-999
Bergen,2023,51.6,-4.6,6.2,1.3,1.8,90.3,-999
Bergen,2024,64.5,-9.0,6.3,0.1,-0.5,71.0,-999
Bergen,2025,58.1,-6.1,6.9,1.2,0.8,77.4,-999
Ålesund,2023,48.4,-2.9,9.3,2.7,2.9,87.1,-999
Ålesund,2024,45.2,-6.0,9.2,2.5,1.3,93.5,-999
Ålesund,2025,48.4,-5.6,10.4,2.3,1.9,77.4,-999
Trondheim,2023,74.2,-7.3,5.6,0.4,-0.2,80.6,-999
Trondheim,2024,67.7,-14.5,6.1,-1.2,-2.8,80.6,-999
Trondheim,2025,67.7,-10.0,7.0,-0.5,-1.1,87.1,-999
Bodø,2023,90.3,-5.6,4.8,0.6,0.2,83.9,-999
Bodø,2024,77.4,-12.2,5.2,-1.6,-2.7,83.9,-999
Bodø,2025,77.4,-8.2,7.1,-1.2,-0.9,77.4,-999
Tromsø,2023,96.8,-10.5,5.0,-1.2,-2.4,83.9,-999
Tromsø,2024,96.8,-13.9,2.5,-6.8,-5.8,74.2,-999
Tromsø,2025,93.5,-10.8,4.0,-4.1,-4.4,74.2,-999
Lillehammer,2023,96.8,-16.0,1.1,-5.8,-5.9,77.4,-999
Lillehammer,2024,100.0,-20.3,2.0,-7.2,-8.0,61.3,-999
Lillehammer,2025,100.0,-13.5,1.8,-5.5,-5.5,67.7,-999
Alta,2023,100.0,-14.2,0.9,-5.8,-6.1,93.5,-999
Alta,2024,100.0,-21.7,2.0,-11.9,-10.5,74.2,-999
Alta,2025,93.5,-20.6,4.3,-7.2,-7.9,83.9,-999
